Neighborhood,Kor_Neighborhood,Total Population,Under Age 15,Detached Houses,Multi-Family Houses,Apartments
Hwayang-dong,화양동,28124,606,1413,2315,1360
Gunja-dong,군자동,22308,1418,1435,1978,779
Junggok 1-dong,중곡1동,15493,1076,1094,2159,148
Junggok 2-dong,중곡2동,21513,1846,1188,3265,300
Junggok 3-dong,중곡3동,16289,1146,1179,2058,462
Junggok 4-dong,중곡4동,28612,2280,1508,4746,314
Neung-dong,능동,11501,815,786,1620,21
Guui 1-dong,구의1동,22228,1382,1070,3553,264
Guui 2-dong,구의2동,26536,2881,977,4221,1355
Guui 3-dong,구의3동,28130,2881,424,2291,5985
Gwangjang-dong,광장동,34206,6154,214,538,9068
Jayang 1-dong,자양1동,23199,1745,1205,3118,784
Jayang 2-dong,자양2동,25349,2471,848,3075,2802
Jayang 3-dong,자양3동,27806,3498,402,782,7088
Jayang 4-dong,자양4동,22673,1217,1589,1139,1405
