Kor_Neighborhood,Eng_Neighborhood,Park_Area_Per_Capita(㎡),Walkable Park Area per Capita(㎡)
종로구,Jongno-gu,41.45,20.08
중구,Jung-gu,23.65,10.55
용산구,Yongsan-gu,3.33,7.1
성동구,Seongdong-gu,4.32,10.21
광진구,Gwangjin-gu,8.53,3.85
동대문구,Dongdaemun-gu,2.71,2.93
중랑구,Jungnang-gu,12.95,4.86
성북구,Seongbuk-gu,10.52,3.84
강북구,Gangbuk-gu,8.16,7.27
도봉구,Dobong-gu,4.04,3.63
노원구,Nowon-gu,28.65,3.77
은평구,Eunpyeong-gu,14.01,4.69
서대문구,Seodaemun-gu,15.09,3.53
마포구,Mapo-gu,8.68,11.58
양천구,Yangcheon-gu,5.98,5.03
강서구,Gangseo-gu,6.04,6.21
구로구,Guro-gu,8.01,4.01
금천구,Geumcheon-gu,10.83,2.34
영등포구,Yeongdeungpo-gu,1.66,7.43
동작구,Dongjak-gu,10.6,5.93
관악구,Gwanak-gu,24.95,3.95
서초구,Seocho-gu,34.63,5.39
강남구,Gangnam-gu,11.82,6.73
송파구,Songpa-gu,3.19,6.66
강동구,Gangdong-gu,6.19,4.59
