District_Code,District_Name,Legal_Neighborhood_Code,Neighborhood,Price_10K,Area_m2,Property_Type
11215,광진구,10500,자양동,158300,84.86,아파트
11530,구로구,10700,개봉동,85000,84.98,아파트
11560,영등포구,10200,영등포동1가,35000,18.89,아파트
11590,동작구,10200,상도동,33000,30,연립다세대
11470,양천구,10200,목동,195000,65.34,아파트
11470,양천구,10200,목동,308000,142.2,아파트
11470,양천구,10300,신월동,31000,56.79,연립다세대
11590,동작구,10700,사당동,44000,35.76,연립다세대
11530,구로구,10700,개봉동,9400,38.06,연립다세대
11560,영등포구,11000,여의도동,17000,31.85,오피스텔
11530,구로구,11200,항동,78800,74.85,아파트
11290,성북구,13300,정릉동,26000,48.48,연립다세대
11530,구로구,10200,구로동,28500,29.92,연립다세대
11620,관악구,10100,봉천동,85000,72.33,단독다가구
11500,강서구,10300,화곡동,20000,52.29,연립다세대
11260,중랑구,10600,신내동,30500,39.84,아파트
11560,영등포구,12700,양평동3가,390000,1091.32,단독다가구
11470,양천구,10200,목동,27000,34.5,연립다세대
11230,동대문구,10600,장안동,90000,84.774,아파트
11710,송파구,10800,문정동,23500,26.15,오피스텔
11500,강서구,10300,화곡동,23900,47.12,연립다세대
11500,강서구,10500,마곡동,13500,17.36,오피스텔
11410,서대문구,11200,대현동,18000,17.66,오피스텔
11440,마포구,12500,성산동,45000,54.29,연립다세대
11620,관악구,10200,신림동,19700,38.55,연립다세대
11380,은평구,10600,대조동,24000,71.24,연립다세대
11680,강남구,10100,역삼동,13000,20.1,오피스텔
11410,서대문구,11900,북가좌동,174000,153.25,아파트
11410,서대문구,12000,남가좌동,127500,84.978,아파트
11305,강북구,10300,수유동,27500,72.41,연립다세대
11200,성동구,12200,용답동,93138,59.81,아파트
11320,도봉구,10500,쌍문동,54000,84.63,아파트
11680,강남구,10400,청담동,24300,24.01,오피스텔
11620,관악구,10200,신림동,19000,54.49,연립다세대
11530,구로구,11200,항동,77500,74.83,아파트
11320,도봉구,10600,방학동,18500,45.83,연립다세대
11530,구로구,10200,구로동,43000,45.563,아파트
11590,동작구,10200,상도동,53500,54.63,연립다세대
11530,구로구,10900,궁동,22000,69.66,연립다세대
11380,은평구,10200,녹번동,16500,36.68,연립다세대
11530,구로구,10700,개봉동,143285,84.73,아파트
11500,강서구,10300,화곡동,9000,20.23,연립다세대
11410,서대문구,11800,홍은동,71000,84.78,아파트
11320,도봉구,10500,쌍문동,21000,45.58,연립다세대
11410,서대문구,11000,북아현동,49500,41.61,연립다세대
11140,중구,16300,흥인동,18800,24.67,오피스텔
11200,성동구,11400,성수동1가,385000,196,단독다가구
11305,강북구,10100,미아동,58800,205.79,단독다가구
11260,중랑구,10100,면목동,57000,59.91,아파트
11530,구로구,10200,구로동,16600,28.52,오피스텔
11680,강남구,11800,도곡동,26500,22.48,연립다세대
11305,강북구,10300,수유동,14000,44.6,연립다세대
11470,양천구,10200,목동,100000,84.94,아파트
11110,종로구,11800,내수동,23000,28.19,오피스텔
11170,용산구,13100,한남동,78000,68.87,오피스텔
11200,성동구,11800,송정동,27800,26.68,연립다세대
11215,광진구,10500,자양동,85000,40.275,아파트
11230,동대문구,10600,장안동,114000,133.72,아파트
11680,강남구,10800,논현동,25900,21.33,연립다세대
11140,중구,16500,황학동,28500,41.41,오피스텔
11410,서대문구,10600,천연동,53000,30.17,아파트
11200,성동구,12200,용답동,94208,59.81,아파트
11200,성동구,12200,용답동,44000,19.37,연립다세대
11380,은평구,10200,녹번동,15000,38.85,연립다세대
11260,중랑구,10200,상봉동,22000,42.04,오피스텔
11350,노원구,10200,월계동,78500,59.94,아파트
11200,성동구,10700,행당동,96000,84.99,아파트
11260,중랑구,10500,망우동,40000,56.34,연립다세대
11230,동대문구,10200,용두동,40000,43.93,연립다세대
11380,은평구,10300,불광동,56700,84.99,아파트
11620,관악구,10200,신림동,20300,31.91,오피스텔
11530,구로구,10200,구로동,63500,79.98,아파트
11260,중랑구,10100,면목동,19000,14.73,연립다세대
11260,중랑구,10100,면목동,24000,25.13,연립다세대
11305,강북구,10300,수유동,11500,28.82,오피스텔
11215,광진구,10400,광장동,130500,84.93,아파트
11380,은평구,10500,구산동,26586,37.45,연립다세대
11305,강북구,10300,수유동,35500,125.58,단독다가구
11200,성동구,10600,사근동,21000,17.07,연립다세대
11140,중구,16300,흥인동,14000,15.55,아파트
11620,관악구,10200,신림동,34500,95.76,연립다세대
11545,금천구,10100,가산동,11000,16.61,오피스텔
11500,강서구,10300,화곡동,13730,21.64,아파트
11590,동작구,10200,상도동,52000,70.55,연립다세대
11530,구로구,10200,구로동,50000,59.5,아파트
11545,금천구,10200,독산동,18000,26.14,오피스텔
11500,강서구,10400,가양동,61500,39.6,아파트
11740,강동구,10700,암사동,49500,73.34,연립다세대
11350,노원구,10600,중계동,20500,29.45,연립다세대
11650,서초구,10800,서초동,26000,35.173,오피스텔
11560,영등포구,11000,여의도동,150000,99.56,오피스텔
11290,성북구,13800,장위동,101000,76.15,아파트
11350,노원구,10200,월계동,65500,84.73,아파트
11470,양천구,10200,목동,15000,63.64,연립다세대
11740,강동구,11000,강일동,6800,15.36,오피스텔
11320,도봉구,10500,쌍문동,15000,47.76,연립다세대
11500,강서구,10500,마곡동,17500,24.021,오피스텔
11260,중랑구,10200,상봉동,27200,27.6,연립다세대
11290,성북구,10300,돈암동,107000,114.89,아파트
11410,서대문구,11900,북가좌동,90000,78.06,연립다세대
11410,서대문구,11900,북가좌동,90000,78.06,연립다세대
11380,은평구,10800,역촌동,6200,28.61,연립다세대
11620,관악구,10200,신림동,44000,53.37,연립다세대
11350,노원구,10600,중계동,51000,49.5,아파트
11440,마포구,12500,성산동,45000,53.9,연립다세대
11470,양천구,10100,신정동,177500,70.73,아파트
11560,영등포구,10300,영등포동2가,14000,29.93,오피스텔
11410,서대문구,12000,남가좌동,76000,99.07,아파트
11470,양천구,10200,목동,171000,47.94,아파트
11230,동대문구,10500,답십리동,12500,20.62,오피스텔
11140,중구,14800,을지로6가,12000,19.94,오피스텔
11620,관악구,10200,신림동,21500,59.63,연립다세대
11440,마포구,10500,용강동,195000,118.86,아파트
11500,강서구,10200,등촌동,23500,46.74,연립다세대
11440,마포구,12300,망원동,44990,58.98,아파트
11350,노원구,10300,공릉동,84500,84.99,아파트
11545,금천구,10300,시흥동,18500,26.99,연립다세대
11530,구로구,10200,구로동,10500,19.015,오피스텔
11530,구로구,10200,구로동,10700,19.015,오피스텔
11140,중구,16500,황학동,27000,34.43,연립다세대
11590,동작구,10800,대방동,143000,84.92,아파트
11320,도봉구,10500,쌍문동,29500,48.96,아파트
11350,노원구,10300,공릉동,52800,59.88,아파트
11305,강북구,10100,미아동,13000,53.64,연립다세대
11620,관악구,10100,봉천동,103000,114.69,아파트
11620,관악구,10100,봉천동,86500,84.96,아파트
11140,중구,16200,신당동,125000,139.275,아파트
11500,강서구,10300,화곡동,49000,81.48,아파트
11560,영등포구,11300,당산동3가,50800,62.81,오피스텔
11215,광진구,10300,구의동,40000,65.77,연립다세대
11440,마포구,10800,대흥동,27000,35.16,연립다세대
11560,영등포구,11000,여의도동,330000,135.8,아파트
11545,금천구,10200,독산동,9900,18.81,오피스텔
11290,성북구,13400,길음동,64500,59.94,아파트
11305,강북구,10300,수유동,14200,34.95,오피스텔
11590,동작구,10200,상도동,175000,120.936,아파트
11560,영등포구,13200,신길동,135000,59.91,아파트
11350,노원구,10500,상계동,49000,41.3,아파트
11440,마포구,10100,아현동,140000,59.99,아파트
11290,성북구,13300,정릉동,24500,58.62,연립다세대
11680,강남구,10800,논현동,18200,28.08,연립다세대
11215,광진구,10100,중곡동,386000,467.59,단독다가구
11410,서대문구,11800,홍은동,49000,79.7,아파트
11620,관악구,10100,봉천동,95000,84.96,아파트
11200,성동구,10700,행당동,16000,24.84,오피스텔
11500,강서구,10600,내발산동,17600,36.98,연립다세대
11470,양천구,10200,목동,26500,32.37,연립다세대
11620,관악구,10100,봉천동,11500,28.8,오피스텔
11305,강북구,10100,미아동,8800,27.2,연립다세대
11110,종로구,12400,수송동,46000,53.16,오피스텔
11560,영등포구,11000,여의도동,187000,60.96,아파트
11560,영등포구,12500,양평동1가,93000,61.59,아파트
11590,동작구,10100,노량진동,49000,54.22,연립다세대
11380,은평구,10300,불광동,37500,46.82,연립다세대
11500,강서구,10300,화곡동,26500,34.68,연립다세대
11350,노원구,10500,상계동,49000,59.958,아파트
11380,은평구,11400,진관동,13700,24.91,오피스텔
11590,동작구,10800,대방동,58000,75.63,연립다세대
11545,금천구,10200,독산동,18500,27.03,오피스텔
11140,중구,16200,신당동,121500,84.88,아파트
11200,성동구,11000,금호동2가,166500,84.98,아파트
11140,중구,16200,신당동,134700,84.98,아파트
11545,금천구,10100,가산동,10800,19.96,오피스텔
11140,중구,16500,황학동,14500,25.05,오피스텔
11290,성북구,13800,장위동,40600,49,연립다세대
11215,광진구,10100,중곡동,20000,41.34,연립다세대
11305,강북구,10100,미아동,60000,34.68,연립다세대
11500,강서구,10500,마곡동,12400,20.24,오피스텔
11140,중구,14700,쌍림동,23500,18.49,오피스텔
11380,은평구,10800,역촌동,55800,57.61,연립다세대
11710,송파구,10700,가락동,19300,30.26,오피스텔
11290,성북구,13300,정릉동,5500,39.39,연립다세대
11500,강서구,10200,등촌동,57000,58.14,아파트
11350,노원구,10600,중계동,45200,44.94,아파트
