Neighborhood,latitude,longitude
Guui 3-dong,37.537998,127.092326
Guui 2-dong,37.547533,127.097787
Guui 3-dong,37.536888,127.094671
Jayang 3-dong,37.542842,127.091089
Gunja-dong,37.547708,127.073579
Jayang 2-dong,37.530178,127.082391
Jayang 3-dong,37.531996,127.074372
Jayang 1-dong,37.534328,127.082195
Jayang 1-dong,37.535785,127.077644
Jayang 1-dong,37.533222,127.078323
Jayang 1-dong,37.534277,127.082166
Jayang 2-dong,37.530188,127.082409
Junggok 3-dong,37.568478,127.080198
Junggok 2-dong,37.559576,127.084016
Junggok 4-dong,37.556807,127.092033
Hwayang-dong,37.546457,127.071829
Hwayang-dong,37.541553,127.069658
